Column1;Column2
name;value,,
Afghanistan;104.89,,
Somalia;86.53,,
Central African Republic;82.97,,
Equatorial Guinea;78.33,,
Sierra Leone;73.42,,
Niger;66.81,,
Chad;65.48,,
South Sudan;63.18,,
Mozambique;61.38,,
Congo,Democratic Republic of the;60.85,
Mali;60.64,,
Angola;58.86,,
Comoros;57.1,,
Nigeria;56.68,,
Benin;55.76,,
Cote d'Ivoire;55.67,,
Pakistan;53.98,,
Mauritania;50.99,,
Guinea;49.63,,
Burkina Faso;49.42,,
Guinea-Bissau;49.05,,
Cameroon;48.73,,
Lesotho;48.44,,
Congo,Republic of the;47.93,
Djibouti;46.89,,
Yemen;46.54,,
Liberia;44.57,,
Sao Tome and Principe;44.38,,
Sudan;42.27,,
Eritrea;41.5,,
Togo;41.19,,
Haiti;40.02,,
Eswatini;39.63,,
Madagascar;39.04,,
Burundi;37.84,,
Laos;37.78,,
Turkmenistan;37.62,,
Gambia,The;37.19,
Zambia;37.11,,
Timor-Leste;33.69,,
Papua New Guinea;33.59,,
Ethiopia;33.51,,
Malawi;33.43,,
Burma;32.94,,
Kiribati;32.93,,
Ghana;32.59,,
Senegal;32.44,,
Tajikistan;32.33,,
Tanzania;30.87,,
Uganda;30.45,,
Bangladesh;30.35,,
India;30.31,,
Suriname;30.25,,
Cambodia;29.58,,
Namibia;29.42,,
Tuvalu;28.92,,
Gabon;28.56,,
Zimbabwe;28.53,,
Kenya;27.86,,
Kosovo;27.12,,
Bhutan;27.04,,
Rwanda;26.39,,
Guatemala;26.18,,
South Africa;25.87,,
Maldives;25.7,,
Kyrgyzstan;25.66,,
Botswana;25.18,,
Nepal;25.13,,
Cabo Verde;23.53,,
Azerbaijan;23.51,,
Paraguay;23.21,,
Bolivia;22.28,,
Philippines;22.23,,
Korea,North;22.21,
Guyana;22.15,,
Micronesia,Federated States of;21.9,
Marshall Islands;21.66,,
Dominican Republic;21.18,,
Mongolia;20.18,,
Solomon Islands;20.02,,
Indonesia;19.73,,
Algeria;19.72,,
Iraq;19.62,,
Morocco;19.2,,
Saint Helena,Ascension,and Tristan da Cunha;19.19
Kazakhstan;19.18,,
Nicaragua;19.09,,
Uzbekistan;18.98,,
Ecuador;18.13,,
Samoa;18,,
Venezuela;17.72,,
Egypt;17.7,,
Panama;16.44,,
Cook Islands;15.93,,
Syria;15.87,,
Trinidad and Tobago;15.83,,
West Bank;15.29,,
Gaza Strip;15.23,,
Honduras;15.08,,
Iran;14.84,,
Georgia;14.77,,
Vietnam;14.75,,
Oman;14.45,,
Vanuatu;14.34,,
Antigua and Barbuda;14.3,,
British Virgin Islands;14.16,,
Jordan;13.9,,
Brazil;13.31,,
Saint Vincent and the Grenadines;12.87,,
Bahamas,The;12.78,
Northern Mariana Islands;12.48,,
Tonga;12.41,,
Saudi Arabia;12.27,,
Armenia;12.18,,
El Salvador;12.14,,
Aruba;12.09,,
Mauritius;12.08,,
Saint Lucia;11.99,,
Tunisia;11.87,,
Mexico;11.86,,
Colombia;11.65,,
Moldova;11.6,,
Turks and Caicos Islands;11.59,,
Guam;11.46,,
Palau;11.28,,
Dominica;11.27,,
Libya;11.22,,
Jamaica;11.17,,
Belize;11.15,,
Albania;10.82,,
Peru;10.8,,
Seychelles;10.6,,
Brunei;10.52,,
Montserrat;10.36,,
Bahrain;10.19,,
American Samoa;10.06,,
Fiji;10.06,,
Barbados;10,,
Grenada;9.4,,
Argentina;9.35,,
Greenland;8.75,,
Croatia;8.74,,
Costa Rica;8.39,,
Cyprus;8.36,,
Saint Kitts and Nevis;8.35,,
Uruguay;8.31,,
Sri Lanka;8.2,,
Saint Pierre and Miquelon;8.16,,
Bulgaria;7.98,,
Sint Maarten;7.98,,
Curacao;7.88,,
Nauru;7.84,,
Cayman Islands;7.65,,
Virgin Islands;7.65,,
Kuwait;7.43,,
Ukraine;7.33,,
North Macedonia;7.32,,
Lebanon;7.04,,
China;6.76,,
Saint Barthelemy;6.71,,
Saint Martin;6.71,,
Qatar;6.62,,
Malaysia;6.59,,
Chile;6.55,,
San Marino;6.51,,
Thailand;6.47,,
Russia;6.42,,
Gibraltar;6.25,,
Puerto Rico;6.04,,
Faroe Islands;5.99,,
Romania;5.84,,
Bosnia and Herzegovina;5.21,,
United States;5.17,,
United Arab Emirates;5.14,,
New Caledonia;5,,
Latvia;4.85,,
Slovakia;4.82,,
Serbia;4.81,,
Hungary;4.62,,
Macau;4.59,,
Malta;4.53,,
French Polynesia;4.4,,
Canada;4.38,,
Isle of Man;4.24,,
Poland;4.16,,
Cuba;4.13,,
Liechtenstein;4.05,,
Wallis and Futuna;4,,
Taiwan;3.97,,
Jersey;3.87,,
United Kingdom;3.82,,
Lithuania;3.63,,
Switzerland;3.58,,
Israel;3.56,,
Greece;3.55,,
Ireland;3.47,,
Andorra;3.44,,
New Zealand;3.44,,
Estonia;3.42,,
Netherlands;3.4,,
Guernsey;3.36,,
Belarus;3.27,,
Luxembourg;3.25,,
Austria;3.24,,
Montenegro;3.24,,
Belgium;3.19,,
Germany;3.19,,
Italy;3.16,,
France;3.15,,
Anguilla;3.07,,
Denmark;3.04,,
Australia;3.01,,
Korea,South;2.87,
Hong Kong;2.55,,
Portugal;2.5,,
Spain;2.47,,
Czechia;2.4,,
Norway;2.31,,
Sweden;2.3,,
Bermuda;2.19,,
Finland;2.13,,
Japan;1.9,,
Monaco;1.76,,
Iceland;1.65,,
Singapore;1.55,,
Slovenia;1.52,,
