name;value
Japan;237.6
Greece;181.8
Barbados;157.3
Lebanon;146.8
Italy;131.8
Eritrea;131.2
Congo, Republic of the;130.8
Cabo Verde;125.8
Portugal;125.7
Sudan;121.6
Singapore;111.1
Bhutan;106.3
Belgium;103.4
Egypt;103
Mozambique;102.1
Jamaica;101
Belize;99
Spain;98.4
Cyprus;97.5
France;96.8
Mauritania;96.6
Jordan;95.9
Syria;94.8
Mongolia;91.4
Canada;89.7
Bahrain;88.5
Sao Tome and Principe;88.4
Gambia, The;88
United Kingdom;87.5
Antigua and Barbuda;86.8
Aruba;86
Brazil;84
Dominica;82.7
Zimbabwe;82.3
Sri Lanka;79.1
United States;78.8
Austria;78.6
Croatia;77.8
Somalia;76.7
Togo;75.7
Yemen;74.5
Saint Vincent and the Grenadines;73.8
Hungary;73.6
Slovenia;73.6
Israel;72.6
Albania;71.8
Ghana;71.8
India;71.2
Ukraine;71
Saint Lucia;70.7
Grenada;70.4
Tunisia;70.3
Suriname;69.3
Ireland;68.6
El Salvador;67.9
Montenegro;67.2
Pakistan;67
Uruguay;65.7
Morocco;65.1
Angola;65
Mauritius;64
Germany;63.9
Maldives;63.9
Sierra Leone;63.9
Laos;63.6
Seychelles;63.6
Zambia;63.1
Saint Kitts and Nevis;62.9
Gabon;62.7
South Sudan;62.7
Serbia;62.5
Nauru;62
Finland;61.3
Iraq;59.7
Malawi;59.2
Vietnam;58.5
Argentina;57.6
Netherlands;56.5
Kyrgyzstan;56
Bahamas, The;54.6
Benin;54.6
Mexico;54.3
Ethiopia;54.2
Kenya;54.2
Azerbaijan;54.1
Malaysia;54.1
Guinea-Bissau;53.9
Qatar;53.8
Armenia;53.5
Belarus;53.4
Virgin Islands;53.3
South Africa;53
Central African Republic;52.9
Chad;52.5
Guyana;52.2
Burundi;51.7
Puerto Rico;51.6
Slovakia;50.9
Malta;50.7
Poland;50.6
Tajikistan;50.4
Colombia;49.4
Samoa;49.1
Bolivia;49
Costa Rica;48.9
Fiji;48.9
Vanuatu;48.4
Senegal;48.3
Tonga;48
Cuba;47.7
China;47
Cote d'Ivoire;47
Oman;46.9
Ecuador;45.4
Niger;45.3
Georgia;44.9
Bermuda;43
Thailand;41.9
Switzerland;41.8
Trinidad and Tobago;41.8
Namibia;41.3
Andorra;41
Australia;40.8
Sweden;40.8
Rwanda;40.5
Iceland;40
Uganda;40
Philippines;39.9
Lithuania;39.7
Bosnia and Herzegovina;39.5
Honduras;39.5
Iran;39.5
Korea, South;39.5
North Macedonia;39.3
Venezuela;38.9
Burkina Faso;38.1
Guinea;37.9
Panama;37.8
Equatorial Guinea;37.4
Dominican Republic;37.2
Tanzania;37
Tuvalu;37
Cameroon;36.9
Papua New Guinea;36.9
Romania;36.8
Norway;36.5
Latvia;36.3
Madagascar;36
Taiwan;35.7
Mali;35.4
Denmark;35.3
Faroe Islands;35
Czechia;34.7
Liberia;34.4
Lesotho;33.7
Burma;33.6
Nicaragua;33.3
Curacao;33.2
Bangladesh;33.1
Comoros;32.4
Djibouti;31.8
New Zealand;31.7
Moldova;31.5
Haiti;31.1
Cambodia;30.4
Indonesia;28.8
Turkmenistan;28.8
Eswatini;28.4
Algeria;27.5
Nepal;26.4
Kiribati;26.3
Marshall Islands;25.5
Peru;25.4
Guatemala;24.7
Micronesia, Federated States of;24.5
West Bank;24.4
Uzbekistan;24.3
Palau;24.1
San Marino;24.1
Bulgaria;23.9
Chile;23.6
Luxembourg;23
Guam;22.1
Nigeria;21.8
Kosovo;21.2
Kazakhstan;20.8
Kuwait;20.6
Anguilla;20.1
United Arab Emirates;19.7
Paraguay;19.5
Congo, Democratic Republic of the;18.1
Saudi Arabia;17.2
Russia;15.5
Botswana;14
Greenland;13
American Samoa;12.2
Solomon Islands;9.4
Estonia;9
Gibraltar;7.5
Northern Mariana Islands;7.1
Afghanistan;7
New Caledonia;6.5
Wallis and Futuna;5.6
Libya;4.7
Timor-Leste;3.8
Brunei;2.8
Hong Kong;0.1
Falkland Islands (Islas Malvinas);0
Macau;0
